t,x,y,z,vx,vy,vz,qw,qx,qy,qz,wbx,wby,wbz,Fx,Fy,Fz,Tx,Ty,Tz
0.75,4.97971282,5.00008408,5.00089383,-0.0268255772,0.000180287553,0.0013176926,0.990927736,-0.0001174795,0.134395422,-0.000282220582,-0.000716203451,0.0837599139,-0.00110788805,0.0296175831,0.000238047527,1.70047833,0.000451043427,-0.0282570433,0.000709492585
0.766666667,4.97927358,5.00008715,5.00091547,-0.0263541987,0.000184076197,0.00129831239,0.990838745,-0.000123960591,0.135049923,-0.000289640589,-0.000674429761,0.0792626697,-0.000980633541,0.0275077222,-0.000302748514,1.69883765,0.000379124779,-0.0263044548,0.000345770275
0.783333333,4.97884164,5.00009014,5.00093635,-0.0259163997,0.000179257805,0.00125281998,0.990754056,-0.000129995237,0.1356698,-0.000296542503,-0.000628475791,0.0750762013,-0.000912162344,0.0288202235,8.43858905e-05,1.70024811,0.00045240137,-0.0248368825,-0.000426285136
0.8,4.97841734,5.00009315,5.00095684,-0.0254577116,0.000180600848,0.00122977569,0.990673469,-0.000135348893,0.136256991,-0.000303927336,-0.000538423374,0.0711233522,-0.000958853977,0.0275761544,0.00122921281,1.70016154,0.00027245066,-0.0235612631,-0.000649101113
0.816666667,4.97800036,5.00009649,5.00097693,-0.0250188235,0.000200164378,0.00120535363,0.990596808,-0.000140217724,0.136813179,-0.000312119929,-0.000466384976,0.0673735223,-0.00104731414,0.029556004,1.76116818e-06,1.69857057,-0.000148797399,-0.0227766065,0.000281090412
0.833333333,4.97759122,5.00009982,5.00099619,-0.024548425,0.000200192408,0.00115561053,0.990523985,-0.000145323583,0.137339402,-0.000319974362,-0.000498925681,0.0637484837,-0.00101136845,0.0318190939,0.0022430535,1.70066312,-0.000159555301,-0.0209460869,-0.000600954675
0.85,4.97719052,5.00010375,5.00101518,-0.0240420084,0.000235891713,0.00113917141,0.990454712,-0.000150520661,0.137838071,-0.000328651298,-0.000495092816,0.0604148321,-0.00111098107,0.0300516693,0.000632889065,1.70100441,-0.000729509207,-0.0199883202,-3.07555488e-05
0.866666667,4.97679779,5.00010785,5.00103398,-0.0235637213,0.000245964455,0.001128164,0.990388854,-0.000156661673,0.138310449,-0.000337505911,-0.000603246344,0.0572335241,-0.00114805215,0.0307553229,-0.000993360314,1.69979196,0.00021327218,-0.0189622839,-0.000410093577
0.883333333,4.97641322,5.00011169,5.00105228,-0.0230742351,0.000230154635,0.00109785991,0.99032626,-0.000162438794,0.138757889,-0.000346863945,-0.000550572258,0.0542156313,-0.00120217898,0.0299207087,0.000174226299,1.70006899,-0.000415221757,-0.0180340014,-0.000694010274
0.9,4.97603659,5.00011557,5.00107015,-0.0225980322,0.000232927532,0.00107196487,0.990266793,-0.000168625243,0.139181616,-0.000357213767,-0.000581654312,0.0513454354,-0.00132719006,0.0317205473,0.00104599765,1.70047613,-0.000591101356,-0.0173959279,-0.000561740273
0.916666667,4.97566837,5.00011973,5.00108769,-0.022093184,0.000249575102,0.00105254976,0.990210365,-0.000175476068,0.139582471,-0.000368414311,-0.000645352993,0.048576765,-0.00143971198,0.0288564225,-0.000292775694,1.70151722,-0.000265481704,-0.016426259,-0.000231145359
0.933333333,4.9753078,5.00012381,5.00110518,-0.0216339198,0.000244915432,0.00104970407,0.990156824,-0.000182624708,0.139961731,-0.000379971334,-0.000673754394,0.0459624333,-0.00148738606,0.028622215,0.000907001756,1.70037611,-0.000198154007,-0.0151688688,0.00018465786
0.95,4.97495483,5.00012814,5.00112233,-0.0211783831,0.000259350814,0.00102869711,0.990105961,-0.000190060179,0.140321051,-0.000391326262,-0.000710261729,0.0435481979,-0.00146850571,0.0282760342,2.58861534e-06,1.70265586,0.000125103227,-0.0147066073,-0.000177098824
